Site,CIMMYTID,YLD
BISA-Ludhiana,GID9080801,6.091935552
BISA-Ludhiana,GID9080807,5.51901814
BISA-Ludhiana,GID9080809,5.657812715
BISA-Ludhiana,GID9080833,6.135444506
BISA-Ludhiana,GID9080834,5.615376144
BISA-Ludhiana,GID9080841,5.890363593
BISA-Ludhiana,GID9080875,6.180281503
BISA-Ludhiana,GID9080921,5.2023802
BISA-Ludhiana,GID9080922,5.617813871
BISA-Ludhiana,GID9081036,5.872623489
BISA-Ludhiana,GID9081224,6.030197198
BISA-Ludhiana,GID9081298,5.996615983
BISA-Ludhiana,GID9081347,5.96500129
BISA-Ludhiana,GID9081482,5.896852049
BISA-Ludhiana,GID9081587,5.593299758
BISA-Ludhiana,GID9081767,6.199226825
BISA-Ludhiana,GID9081781,5.842128386
BISA-Ludhiana,GID9081895,6.055927469
BISA-Ludhiana,GID9082176,6.49697211
BISA-Ludhiana,GID9082216,6.3169803
BISA-Ludhiana,GID9082445,6.02232038
BISA-Ludhiana,GID9082520,5.939572156
BISA-Ludhiana,GID9082954,6.151617049
BISA-Ludhiana,GID9082978,5.958606391
BISA-Ludhiana,GID9083000,5.302044035
BISA-Ludhiana,GID9083186,5.802214438
BISA-Ludhiana,GID9083234,6.477493792
BISA-Ludhiana,GID9083237,5.896069486
BISA-Ludhiana,GID9083247,6.375176753
BISA-Ludhiana,GID9083250,5.887122631
BISA-Ludhiana,GID9083401,5.489322803
BISA-Ludhiana,GID9083493,5.979157703
BISA-Ludhiana,GID9083546,5.869796621
BISA-Ludhiana,GID9083603,5.983536337
BISA-Ludhiana,GID9083675,6.038914158
BISA-Ludhiana,GID9083677,5.772912512
BISA-Ludhiana,GID9083754,6.087822607
BISA-Ludhiana,GID9083763,5.654092097
BISA-Ludhiana,GID9083998,5.795677776
BISA-Ludhiana,GID9084006,5.46217707
BISA-Ludhiana,GID9084473,6.09755811
BISA-Ludhiana,GID9084484,6.075521537
BISA-Ludhiana,GID9084526,5.461886184
BISA-Ludhiana,GID9084554,6.434626059
BISA-Ludhiana,GID9084742,5.934825967
BISA-Ludhiana,GID9085376,6.40596095
BISA-Ludhiana,GID9085407,5.802102117
BISA-Ludhiana,GID9085409,5.965381087
BISA-Ludhiana,GID9085500,6.110443679
BISA-Ludhiana,GID9085784,6.16966791
BISA-Ludhiana,GID9086267,5.672624289
BISA-Ludhiana,GID9086899,6.097668057
BISA-Ludhiana,GID9088734,5.941156373
BISA-Ludhiana,GID9088753,5.875506806
BISA-Ludhiana,GID9278904,6.045477228
BISA-Ludhiana,GID9279069,5.955749247
BISA-Ludhiana,GID9279638,6.468147137
BISA-Ludhiana,GID9279689,5.737378647
BISA-Ludhiana,GID9279696,5.776815601
BISA-Ludhiana,GID9279710,5.542570664
BISA-Ludhiana,GID9279830,5.548612577
BISA-Ludhiana,GID9280411,6.009308821
BISA-Ludhiana,GID9281222,5.796392437
BISA-Ludhiana,GID9281303,5.399429682
BISA-Ludhiana,GID9281978,6.38221405
BISA-Ludhiana,GID9282019,6.298337081
BISA-Ludhiana,GID9282140,6.065156098
BISA-Ludhiana,GID9282519,6.491521015
BISA-Ludhiana,GID9282562,5.896441635
BISA-Ludhiana,GID9282569,6.526945549
BISA-Ludhiana,GID9283000,6.380238828
BISA-Ludhiana,GID9283310,5.135481892
BISA-Ludhiana,GID9283381,5.983351316
BISA-Ludhiana,GID9283499,5.987125458
BISA-Ludhiana,GID9283537,5.883658364
BISA-Ludhiana,GID9283627,5.057562258
BISA-Ludhiana,GID9283636,5.803647553
BISA-Ludhiana,GID9283654,5.4438238
BISA-Ludhiana,GID9284047,6.096961948
BISA-Ludhiana,GID9284127,6.207017303
BISA-Ludhiana,GID9284251,6.050997509
BISA-Ludhiana,GID9284432,5.16564505
BISA-Ludhiana,GID9284619,5.1654515
BISA-Ludhiana,GID9284955,5.003390496
BISA-Ludhiana,GID9285052,6.05706111
BISA-Ludhiana,GID9285065,6.212224266
BISA-Ludhiana,GID9285175,5.987758633
BISA-Ludhiana,GID9285302,6.401997913
BISA-Ludhiana,GID9285357,6.444470774
BISA-Ludhiana,GID9285370,5.82399341
BISA-Ludhiana,GID9285557,6.032042851
BISA-Ludhiana,GID9285643,5.921935071
BISA-Ludhiana,GID9285656,5.770189437
BISA-Ludhiana,GID9285664,5.764313712
BISA-Ludhiana,GID9286014,5.847141355
BISA-Ludhiana,GID9286243,6.111664273
BISA-Ludhiana,GID9286342,5.838573568
BISA-Ludhiana,GID9286563,5.979104906
BISA-Ludhiana,GID9286765,6.217317955
BISA-Ludhiana,GID9286775,5.697300484
BISA-Ludhiana,GID9286955,6.247175936
BISA-Ludhiana,GID9287034,6.077286053
BISA-Ludhiana,GID9287186,5.487787273
BISA-Ludhiana,GID9287217,5.331641634
BISA-Ludhiana,GID9287268,6.078981914
BISA-Ludhiana,GID9287381,5.506118383
BISA-Ludhiana,GID9287490,5.851354025
BISA-Ludhiana,GID9287587,5.705159101
BISA-Ludhiana,GID9287897,5.480633563
BISA-Ludhiana,GID9287905,6.006046452
BISA-Ludhiana,GID9287911,6.000168504
BISA-Ludhiana,GID9288103,5.391004593
BISA-Ludhiana,GID9288206,5.95035661
BISA-Ludhiana,GID9288209,6.447199798
BISA-Ludhiana,GID9289097,5.917157358
BISA-Ludhiana,GID9289112,6.126310349
BISA-Ludhiana,GID9289166,6.124679935
BISA-Ludhiana,GID9289175,6.095872043
BISA-Ludhiana,GID9289851,6.223399103
BISA-Ludhiana,GID9289875,4.804181311
BISA-Ludhiana,GID9289999,6.225763729
BISA-Ludhiana,GID9290016,6.182083111
BISA-Ludhiana,GID9290028,5.718670446
BISA-Ludhiana,GID9290145,5.750320982
BISA-Ludhiana,GID9290226,5.832675616
BISA-Ludhiana,GID9290370,5.675015281
BISA-Ludhiana,GID9290382,6.154037547
BISA-Ludhiana,GID9290383,6.399138528
BISA-Ludhiana,GID9290650,5.077676911
BISA-Ludhiana,GID9290790,5.825547595
BISA-Ludhiana,GID9290958,5.710586275
BISA-Ludhiana,GID9290994,5.929061047
BISA-Ludhiana,GID9291154,5.640430066
BISA-Ludhiana,GID9291167,5.731969234
BISA-Ludhiana,GID9291221,6.445486741
BISA-Ludhiana,GID9291320,5.598281825
BISA-Ludhiana,GID9291337,6.02937857
BISA-Ludhiana,GID9291462,5.906353766
BISA-Ludhiana,GID9291538,5.69122168
BISA-Ludhiana,GID9291629,6.047827707
BISA-Ludhiana,GID9292004,4.374685262
BISA-Ludhiana,GID9292006,4.120880879
BISA-Ludhiana,GID9292142,5.723616349
BISA-Ludhiana,GID9292174,6.335101161
BISA-Ludhiana,GID9292175,6.608883593
BISA-Ludhiana,GID9292377,5.738125919
BISA-Ludhiana,GID9292459,5.766444576
BISA-Ludhiana,GID9292535,6.028587204
BISA-Ludhiana,GID9292646,5.913174389
BISA-Ludhiana,GID9292699,6.147188151
BISA-Ludhiana,GID9292868,6.18852604
BISA-Ludhiana,GID9292969,5.867968544
BISA-Ludhiana,GID9293003,6.046030907
BISA-Ludhiana,GID9293010,5.887501975
BISA-Ludhiana,GID9293142,6.397218109
BISA-Ludhiana,GID9293151,5.617578955
BISA-Ludhiana,GID9293206,5.881079478
BISA-Ludhiana,GID9293211,5.641461026
BISA-Ludhiana,GID9293212,5.698551876
BISA-Ludhiana,GID9293325,5.936772047
BISA-Ludhiana,GID9293413,6.393526249
BISA-Ludhiana,GID9293625,6.255994623
HAU-Hisar,GID9080801,5.576968453
HAU-Hisar,GID9080807,5.514831762
HAU-Hisar,GID9080809,5.362463741
HAU-Hisar,GID9080833,6.322585106
HAU-Hisar,GID9080834,6.119462182
HAU-Hisar,GID9080841,5.796103173
HAU-Hisar,GID9080875,5.636440336
HAU-Hisar,GID9080921,5.589854683
HAU-Hisar,GID9080922,5.87782795
HAU-Hisar,GID9081036,5.205269963
HAU-Hisar,GID9081224,6.423308794
HAU-Hisar,GID9081298,6.615592987
HAU-Hisar,GID9081347,5.631207762
HAU-Hisar,GID9081482,6.303936391
HAU-Hisar,GID9081587,6.467675068
HAU-Hisar,GID9081767,6.095037071
HAU-Hisar,GID9081781,5.752194549
HAU-Hisar,GID9081895,5.82285179
HAU-Hisar,GID9082176,5.890178997
HAU-Hisar,GID9082216,6.043563245
HAU-Hisar,GID9082445,6.024155291
HAU-Hisar,GID9082520,4.403941478
HAU-Hisar,GID9082954,5.388061394
HAU-Hisar,GID9082978,5.905679659
HAU-Hisar,GID9083000,5.360316877
HAU-Hisar,GID9083186,6.084828503
HAU-Hisar,GID9083234,5.828787342
HAU-Hisar,GID9083237,5.918562076
HAU-Hisar,GID9083247,6.052981324
HAU-Hisar,GID9083250,5.702924739
HAU-Hisar,GID9083401,6.175834312
HAU-Hisar,GID9083493,6.10500275
HAU-Hisar,GID9083546,5.416558739
HAU-Hisar,GID9083603,6.077667926
HAU-Hisar,GID9083675,5.980438275
HAU-Hisar,GID9083677,4.779015779
HAU-Hisar,GID9083754,6.088822118
HAU-Hisar,GID9083763,5.663412416
HAU-Hisar,GID9083998,5.56502387
HAU-Hisar,GID9084006,5.647952574
HAU-Hisar,GID9084473,6.154963176
HAU-Hisar,GID9084484,5.777002214
HAU-Hisar,GID9084526,5.700976117
HAU-Hisar,GID9084554,5.772594032
HAU-Hisar,GID9084742,5.991874636
HAU-Hisar,GID9085376,6.744297859
HAU-Hisar,GID9085407,6.036803276
HAU-Hisar,GID9085409,5.519640596
HAU-Hisar,GID9085500,6.173738448
HAU-Hisar,GID9085784,5.863810108
HAU-Hisar,GID9086267,4.889667887
HAU-Hisar,GID9086899,6.332787722
HAU-Hisar,GID9088734,6.475426617
HAU-Hisar,GID9088753,5.941831123
HAU-Hisar,GID9278904,6.170406639
HAU-Hisar,GID9279069,6.352715064
HAU-Hisar,GID9279638,6.687120647
HAU-Hisar,GID9279689,6.085141743
HAU-Hisar,GID9279696,5.747548989
HAU-Hisar,GID9279710,5.867629069
HAU-Hisar,GID9279830,5.738266812
HAU-Hisar,GID9280411,5.962247815
HAU-Hisar,GID9281222,5.803743723
HAU-Hisar,GID9281303,5.593559616
HAU-Hisar,GID9281978,5.751590895
HAU-Hisar,GID9282019,5.714390781
HAU-Hisar,GID9282140,5.447643757
HAU-Hisar,GID9282519,6.320650008
HAU-Hisar,GID9282562,6.015680911
HAU-Hisar,GID9282569,5.891077833
HAU-Hisar,GID9283000,5.649002041
HAU-Hisar,GID9283310,5.053466739
HAU-Hisar,GID9283381,6.31592403
HAU-Hisar,GID9283499,6.392640162
HAU-Hisar,GID9283537,6.024172753
HAU-Hisar,GID9283627,4.756328703
HAU-Hisar,GID9283636,6.054777218
HAU-Hisar,GID9283654,5.744580545
HAU-Hisar,GID9284047,6.593175357
HAU-Hisar,GID9284127,5.387111616
HAU-Hisar,GID9284251,5.744216177
HAU-Hisar,GID9284432,5.65174335
HAU-Hisar,GID9284619,5.916344801
HAU-Hisar,GID9284955,6.235498798
HAU-Hisar,GID9285052,6.609293768
HAU-Hisar,GID9285065,5.884055483
HAU-Hisar,GID9285175,5.759905418
HAU-Hisar,GID9285302,5.636122637
HAU-Hisar,GID9285357,6.453762208
HAU-Hisar,GID9285370,5.646366551
HAU-Hisar,GID9285557,5.889577195
HAU-Hisar,GID9285643,6.53096592
HAU-Hisar,GID9285656,6.484097551
