Site,GID,YLD
ARI-Pune,GID9080813,5.261117154
ARI-Pune,GID9080873,5.274582674
ARI-Pune,GID9080877,5.314218687
ARI-Pune,GID9080883,5.486988492
ARI-Pune,GID9080886,5.572421792
ARI-Pune,GID9080889,5.536517861
ARI-Pune,GID9080895,5.393640519
ARI-Pune,GID9080947,5.468583571
ARI-Pune,GID9080994,5.266053871
ARI-Pune,GID9080997,5.436004329
ARI-Pune,GID9081091,5.561089778
ARI-Pune,GID9081100,5.319193401
ARI-Pune,GID9081136,5.233603481
ARI-Pune,GID9081161,5.712669844
ARI-Pune,GID9081311,5.657170823
ARI-Pune,GID9081389,5.177374241
ARI-Pune,GID9081671,5.741727942
ARI-Pune,GID9081677,5.663141485
ARI-Pune,GID9081852,5.554869878
ARI-Pune,GID9081967,5.375007855
ARI-Pune,GID9082008,5.420292656
ARI-Pune,GID9082245,6.035605981
ARI-Pune,GID9082589,6.147508806
ARI-Pune,GID9082819,5.507987921
ARI-Pune,GID9083015,5.553483437
ARI-Pune,GID9083296,5.229192468
ARI-Pune,GID9083323,5.641393514
ARI-Pune,GID9083333,6.101711213
ARI-Pune,GID9083733,5.101356177
ARI-Pune,GID9083963,5.783779786
ARI-Pune,GID9084037,5.468844554
ARI-Pune,GID9084041,5.792444401
ARI-Pune,GID9084224,5.294903972
ARI-Pune,GID9084383,5.362356702
ARI-Pune,GID9084384,5.411672493
ARI-Pune,GID9084900,5.635594203
ARI-Pune,GID9085450,5.686042663
ARI-Pune,GID9085470,5.440306711
ARI-Pune,GID9085482,5.452551513
ARI-Pune,GID9085505,5.414191781
ARI-Pune,GID9085540,5.804477102
ARI-Pune,GID9085544,5.51229684
ARI-Pune,GID9085763,5.750751644
ARI-Pune,GID9085765,5.379761225
ARI-Pune,GID9085766,5.227085479
ARI-Pune,GID9085839,5.370943836
ARI-Pune,GID9085876,4.9329547
ARI-Pune,GID9085902,5.590244061
ARI-Pune,GID9086011,5.723431103
ARI-Pune,GID9086841,5.448635963
ARI-Pune,GID9086844,5.595269937
ARI-Pune,GID9087078,5.745402841
ARI-Pune,GID9087818,5.548730289
ARI-Pune,GID9088279,5.711361896
ARI-Pune,GID9278822,5.982232921
ARI-Pune,GID9278906,5.81912579
ARI-Pune,GID9278976,5.7101351
ARI-Pune,GID9279013,5.752558103
ARI-Pune,GID9279138,6.103123383
ARI-Pune,GID9279141,5.942621733
ARI-Pune,GID9279228,5.203444172
ARI-Pune,GID9279242,6.056091097
ARI-Pune,GID9279243,6.063036718
ARI-Pune,GID9279587,5.602113157
ARI-Pune,GID9279592,5.645012205
ARI-Pune,GID9279594,5.813551552
ARI-Pune,GID9279604,5.792872456
ARI-Pune,GID9279608,5.902562307
ARI-Pune,GID9279625,6.057115119
ARI-Pune,GID9279985,5.950931825
ARI-Pune,GID9281856,5.794849087
ARI-Pune,GID9282142,5.838062811
ARI-Pune,GID9282263,5.938430859
ARI-Pune,GID9282431,5.737336407
ARI-Pune,GID9282995,5.673337324
ARI-Pune,GID9283015,5.622608828
ARI-Pune,GID9283060,5.87052844
ARI-Pune,GID9283171,6.118847001
ARI-Pune,GID9283263,5.807728334
ARI-Pune,GID9283547,6.309083574
ARI-Pune,GID9283548,6.300328143
ARI-Pune,GID9283587,5.865202753
ARI-Pune,GID9283592,5.508954206
ARI-Pune,GID9283593,5.666194315
ARI-Pune,GID9283675,5.555186243
ARI-Pune,GID9283699,5.551177391
ARI-Pune,GID9283968,5.754642453
ARI-Pune,GID9284144,5.785540781
ARI-Pune,GID9284316,6.356038013
ARI-Pune,GID9284317,5.673194232
ARI-Pune,GID9284326,6.187241461
ARI-Pune,GID9284473,5.676278995
ARI-Pune,GID9284481,5.17533229
ARI-Pune,GID9284559,5.81918514
ARI-Pune,GID9284573,5.672633386
ARI-Pune,GID9284623,5.63469352
ARI-Pune,GID9284641,5.84865725
ARI-Pune,GID9284843,5.714772242
ARI-Pune,GID9284909,5.826424236
ARI-Pune,GID9284921,5.854534989
ARI-Pune,GID9285011,5.783717505
ARI-Pune,GID9285437,5.586406632
ARI-Pune,GID9285808,6.06405505
ARI-Pune,GID9286169,5.825664832
ARI-Pune,GID9286188,5.616119486
ARI-Pune,GID9286659,5.758470073
ARI-Pune,GID9286875,6.051619314
ARI-Pune,GID9287005,5.488948616
ARI-Pune,GID9287157,5.598848146
ARI-Pune,GID9287193,6.138826994
ARI-Pune,GID9287251,6.31161555
ARI-Pune,GID9287346,5.831617595
ARI-Pune,GID9287502,6.056481393
ARI-Pune,GID9287507,6.290597352
ARI-Pune,GID9287517,6.136883919
ARI-Pune,GID9287553,5.746598516
ARI-Pune,GID9287562,6.04392865
ARI-Pune,GID9287566,6.138450063
ARI-Pune,GID9287803,6.247505605
ARI-Pune,GID9287807,5.944496235
ARI-Pune,GID9287811,5.677813417
ARI-Pune,GID9287887,5.809293149
ARI-Pune,GID9287920,6.225143219
ARI-Pune,GID9288445,5.886261108
ARI-Pune,GID9288539,5.911744659
ARI-Pune,GID9288826,5.707718043
ARI-Pune,GID9288830,5.543709324
ARI-Pune,GID9289010,6.015733608
ARI-Pune,GID9289275,6.293016938
ARI-Pune,GID9289301,5.629431928
ARI-Pune,GID9289783,5.99488284
ARI-Pune,GID9289798,6.048945182
ARI-Pune,GID9289884,5.331200021
ARI-Pune,GID9289919,5.966546006
ARI-Pune,GID9290185,6.481060076
ARI-Pune,GID9290187,6.096892895
ARI-Pune,GID9290191,6.139320034
ARI-Pune,GID9290222,5.997948285
ARI-Pune,GID9290507,6.163763401
ARI-Pune,GID9290535,6.045753608
ARI-Pune,GID9290627,5.867607663
ARI-Pune,GID9290658,5.975402206
ARI-Pune,GID9290696,6.056000768
ARI-Pune,GID9290798,5.885993503
ARI-Pune,GID9291008,5.738232226
ARI-Pune,GID9291457,5.539861788
ARI-Pune,GID9291505,5.525355085
ARI-Pune,GID9291560,6.075218509
ARI-Pune,GID9291626,6.048544794
ARI-Pune,GID9291881,5.438996665
ARI-Pune,GID9291923,5.861446419
ARI-Pune,GID9292038,5.946780654
ARI-Pune,GID9292042,6.10907225
ARI-Pune,GID9292280,6.040795741
ARI-Pune,GID9292334,5.767285193
ARI-Pune,GID9292375,5.834751795
ARI-Pune,GID9292952,6.008919875
ARI-Pune,GID9293089,5.529247323
ARI-Pune,GID9293092,5.683806315
ARI-Pune,GID9293113,5.422596277
ARI-Pune,GID9293114,5.320176896
ARI-Pune,GID9293115,5.427330686
BISA-Jabalpur,GID9080813,5.924604082
BISA-Jabalpur,GID9080873,6.205195307
BISA-Jabalpur,GID9080877,6.527900128
BISA-Jabalpur,GID9080883,6.122694412
BISA-Jabalpur,GID9080886,6.45347344
BISA-Jabalpur,GID9080889,6.323153077
BISA-Jabalpur,GID9080895,5.818592016
BISA-Jabalpur,GID9080947,6.011515238
BISA-Jabalpur,GID9080994,5.911586057
BISA-Jabalpur,GID9080997,5.574500919
BISA-Jabalpur,GID9081091,6.157311014
BISA-Jabalpur,GID9081100,5.734952819
BISA-Jabalpur,GID9081136,5.820602233
BISA-Jabalpur,GID9081161,6.050534223
BISA-Jabalpur,GID9081311,5.468700864
BISA-Jabalpur,GID9081389,6.379058969
BISA-Jabalpur,GID9081671,5.750069437
BISA-Jabalpur,GID9081677,5.26492837
BISA-Jabalpur,GID9081852,5.384336673
BISA-Jabalpur,GID9081967,5.743446717
BISA-Jabalpur,GID9082008,5.571006867
BISA-Jabalpur,GID9082245,6.33132697
BISA-Jabalpur,GID9082589,6.30949709
BISA-Jabalpur,GID9082819,6.017709262
BISA-Jabalpur,GID9083015,5.30452948
BISA-Jabalpur,GID9083296,5.539446835
BISA-Jabalpur,GID9083323,6.377096608
BISA-Jabalpur,GID9083333,6.160379271
BISA-Jabalpur,GID9083733,4.773446182
BISA-Jabalpur,GID9083963,5.878560548
BISA-Jabalpur,GID9084037,6.081598811
BISA-Jabalpur,GID9084041,5.548591442
BISA-Jabalpur,GID9084224,5.207998446
BISA-Jabalpur,GID9084383,6.065672677
BISA-Jabalpur,GID9084384,5.962178427
BISA-Jabalpur,GID9084900,6.040392822
BISA-Jabalpur,GID9085450,5.668734659
BISA-Jabalpur,GID9085470,6.205767768
BISA-Jabalpur,GID9085482,6.185497493
BISA-Jabalpur,GID9085505,5.842233841
BISA-Jabalpur,GID9085540,6.336909806
BISA-Jabalpur,GID9085544,6.036184611
BISA-Jabalpur,GID9085763,6.03978565
BISA-Jabalpur,GID9085765,6.373420603
BISA-Jabalpur,GID9085766,5.057681609
BISA-Jabalpur,GID9085839,5.646249301
BISA-Jabalpur,GID9085876,5.917387328
BISA-Jabalpur,GID9085902,5.773327374
BISA-Jabalpur,GID9086011,6.021902194
BISA-Jabalpur,GID9086841,6.255384322
BISA-Jabalpur,GID9086844,6.064718511
BISA-Jabalpur,GID9087078,5.114261896
BISA-Jabalpur,GID9087818,6.152187024
BISA-Jabalpur,GID9088279,6.019083766
BISA-Jabalpur,GID9278822,5.754702685
BISA-Jabalpur,GID9278906,5.715015859
BISA-Jabalpur,GID9278976,5.123479887
BISA-Jabalpur,GID9279013,5.824207491
BISA-Jabalpur,GID9279138,5.743801143
BISA-Jabalpur,GID9279141,5.889318222
BISA-Jabalpur,GID9279228,6.016085637
BISA-Jabalpur,GID9279242,5.863685719
BISA-Jabalpur,GID9279243,5.973082943
BISA-Jabalpur,GID9279587,6.425224034
BISA-Jabalpur,GID9279592,5.999784052
BISA-Jabalpur,GID9279594,5.178412771
BISA-Jabalpur,GID9279604,5.702603415
BISA-Jabalpur,GID9279608,6.099627797
BISA-Jabalpur,GID9279625,5.689275036
BISA-Jabalpur,GID9279985,5.661799556
BISA-Jabalpur,GID9281856,4.975922896
BISA-Jabalpur,GID9282142,5.554388727
BISA-Jabalpur,GID9282263,5.321557585
BISA-Jabalpur,GID9282431,5.69380331
BISA-Jabalpur,GID9282995,5.975153739
BISA-Jabalpur,GID9283015,4.982570813
BISA-Jabalpur,GID9283060,5.544473674
BISA-Jabalpur,GID9283171,5.606674923
BISA-Jabalpur,GID9283263,5.321638157
BISA-Jabalpur,GID9283547,5.447596467
BISA-Jabalpur,GID9283548,6.1636813
BISA-Jabalpur,GID9283587,5.979575634
BISA-Jabalpur,GID9283592,5.852442476
BISA-Jabalpur,GID9283593,5.789398318
BISA-Jabalpur,GID9283675,6.02001083
BISA-Jabalpur,GID9283699,5.552841697
BISA-Jabalpur,GID9283968,5.083310759
BISA-Jabalpur,GID9284144,6.005084664
BISA-Jabalpur,GID9284316,5.900366819
BISA-Jabalpur,GID9284317,5.499047921
BISA-Jabalpur,GID9284326,5.775526148
BISA-Jabalpur,GID9284473,6.198977264
BISA-Jabalpur,GID9284481,5.77580967
BISA-Jabalpur,GID9284559,5.554022232
BISA-Jabalpur,GID9284573,5.9382258
BISA-Jabalpur,GID9284623,5.532267382
BISA-Jabalpur,GID9284641,5.541116342
BISA-Jabalpur,GID9284843,5.381000937
BISA-Jabalpur,GID9284909,5.988966021
BISA-Jabalpur,GID9284921,5.758766122
BISA-Jabalpur,GID9285011,5.426729429
BISA-Jabalpur,GID9285437,5.38825264
BISA-Jabalpur,GID9285808,5.821482905
BISA-Jabalpur,GID9286169,5.86828483
BISA-Jabalpur,GID9286188,6.098713585
BISA-Jabalpur,GID9286659,5.922226079
BISA-Jabalpur,GID9286875,5.619932251
BISA-Jabalpur,GID9287005,5.826329163
BISA-Jabalpur,GID9287157,5.873399463
BISA-Jabalpur,GID9287193,6.098258057
BISA-Jabalpur,GID9287251,5.256480124
BISA-Jabalpur,GID9287346,5.141852016
BISA-Jabalpur,GID9287502,5.974585596
BISA-Jabalpur,GID9287507,5.359351152
BISA-Jabalpur,GID9287517,5.38835546
BISA-Jabalpur,GID9287553,5.818911383
BISA-Jabalpur,GID9287562,5.913480953
BISA-Jabalpur,GID9287566,5.466301337
BISA-Jabalpur,GID9287803,5.34395037
BISA-Jabalpur,GID9287807,5.310003633
BISA-Jabalpur,GID9287811,5.341349948
BISA-Jabalpur,GID9287887,5.206172896
BISA-Jabalpur,GID9287920,5.139828383
BISA-Jabalpur,GID9288445,6.287679442
BISA-Jabalpur,GID9288539,5.749767733
BISA-Jabalpur,GID9288826,5.902432258
BISA-Jabalpur,GID9288830,5.778285375
BISA-Jabalpur,GID9289010,4.745751623
BISA-Jabalpur,GID9289275,6.078751242
BISA-Jabalpur,GID9289301,5.21254127
BISA-Jabalpur,GID9289783,5.666674141
BISA-Jabalpur,GID9289798,5.821092129
BISA-Jabalpur,GID9289884,5.709267368
BISA-Jabalpur,GID9289919,5.466704084
BISA-Jabalpur,GID9290185,5.917719301
BISA-Jabalpur,GID9290187,5.974764041
BISA-Jabalpur,GID9290191,5.887676889
BISA-Jabalpur,GID9290222,5.926436834
BISA-Jabalpur,GID9290507,6.083427795
BISA-Jabalpur,GID9290535,6.154037549
BISA-Jabalpur,GID9290627,6.245887038
BISA-Jabalpur,GID9290658,5.749512948
BISA-Jabalpur,GID9290696,5.638023384
BISA-Jabalpur,GID9290798,5.990135207
BISA-Jabalpur,GID9291008,5.528124949
BISA-Jabalpur,GID9291457,5.871290895
BISA-Jabalpur,GID9291505,5.362694353
BISA-Jabalpur,GID9291560,5.539952527
BISA-Jabalpur,GID9291626,5.782331394
BISA-Jabalpur,GID9291881,5.363925464
BISA-Jabalpur,GID9291923,5.645016835
BISA-Jabalpur,GID9292038,5.62787148
BISA-Jabalpur,GID9292042,6.181364284
BISA-Jabalpur,GID9292280,5.594366741
BISA-Jabalpur,GID9292334,5.503346979
BISA-Jabalpur,GID9292375,5.228427686
BISA-Jabalpur,GID9292952,5.766993909
BISA-Jabalpur,GID9293089,4.929564795
BISA-Jabalpur,GID9293092,5.024816447
BISA-Jabalpur,GID9293113,5.57601341
BISA-Jabalpur,GID9293114,5.150623359
BISA-Jabalpur,GID9293115,5.456268169
IARI-Indore,GID9080813,5.551921542
IARI-Indore,GID9080873,5.817579555
IARI-Indore,GID9080877,5.662736028
IARI-Indore,GID9080883,6.076752598
IARI-Indore,GID9080886,6.159617546
IARI-Indore,GID9080889,5.804826953
IARI-Indore,GID9080895,5.428835341
IARI-Indore,GID9080947,5.695765523
IARI-Indore,GID9080994,5.697619854
IARI-Indore,GID9080997,6.174505624
IARI-Indore,GID9081091,5.953086852
IARI-Indore,GID9081100,5.940711959
IARI-Indore,GID9081136,5.986742977
IARI-Indore,GID9081161,5.850209191
IARI-Indore,GID9081311,5.835209384
IARI-Indore,GID9081389,5.750894812
IARI-Indore,GID9081671,6.007170008
IARI-Indore,GID9081677,5.904333121
IARI-Indore,GID9081852,5.767167543
IARI-Indore,GID9081967,5.914221865
IARI-Indore,GID9082008,5.672468817
IARI-Indore,GID9082245,6.019452784
IARI-Indore,GID9082589,5.950373953
IARI-Indore,GID9082819,5.894246933
IARI-Indore,GID9083015,5.797133609
IARI-Indore,GID9083296,5.738540935
IARI-Indore,GID9083323,5.671973467
IARI-Indore,GID9083333,6.165733603
IARI-Indore,GID9083733,6.119738867
IARI-Indore,GID9083963,5.807332372
IARI-Indore,GID9084037,5.811128506
IARI-Indore,GID9084041,5.771766784
IARI-Indore,GID9084224,5.883468996
IARI-Indore,GID9084383,5.767643303
IARI-Indore,GID9084384,5.916810353
IARI-Indore,GID9084900,6.110588185
IARI-Indore,GID9085450,5.612116366
IARI-Indore,GID9085470,5.710536382
IARI-Indore,GID9085482,5.340642364
IARI-Indore,GID9085505,5.804605818
IARI-Indore,GID9085540,5.926906171
IARI-Indore,GID9085544,5.763747132
IARI-Indore,GID9085763,5.667398923
IARI-Indore,GID9085765,6.065897744
IARI-Indore,GID9085766,5.654915618
IARI-Indore,GID9085839,5.745872944
IARI-Indore,GID9085876,5.795487041
IARI-Indore,GID9085902,5.794560592
IARI-Indore,GID9086011,5.76842666
IARI-Indore,GID9086841,5.690975058
IARI-Indore,GID9086844,5.919268949
IARI-Indore,GID9087078,5.792178062
IARI-Indore,GID9087818,5.962807122
IARI-Indore,GID9088279,5.677205478
IARI-Indore,GID9278822,5.861057649
IARI-Indore,GID9278906,5.707858606
IARI-Indore,GID9278976,5.803208528
IARI-Indore,GID9279013,5.688755286
IARI-Indore,GID9279138,5.900564977
IARI-Indore,GID9279141,5.805406884
IARI-Indore,GID9279228,5.55958445
IARI-Indore,GID9279242,5.657840209
IARI-Indore,GID9279243,5.865754067
IARI-Indore,GID9279587,5.944191448
IARI-Indore,GID9279592,5.724852245
IARI-Indore,GID9279594,5.63618911
IARI-Indore,GID9279604,5.689138664
IARI-Indore,GID9279608,5.830275922
IARI-Indore,GID9279625,5.577951671
IARI-Indore,GID9279985,5.583843936
IARI-Indore,GID9281856,5.34373373
IARI-Indore,GID9282142,5.939215623
IARI-Indore,GID9282263,5.914719055
IARI-Indore,GID9282431,5.802820388
IARI-Indore,GID9282995,5.665907735
IARI-Indore,GID9283015,5.769997019
IARI-Indore,GID9283060,5.488099288
IARI-Indore,GID9283171,5.86202785
IARI-Indore,GID9283263,5.579321012
IARI-Indore,GID9283547,5.781252801
IARI-Indore,GID9283548,5.9211392
IARI-Indore,GID9283587,5.92800595
IARI-Indore,GID9283592,5.720879494
IARI-Indore,GID9283593,5.627978101
IARI-Indore,GID9283675,5.670350082
IARI-Indore,GID9283699,5.796157103
IARI-Indore,GID9283968,5.550185556
IARI-Indore,GID9284144,5.578037098
IARI-Indore,GID9284316,5.808314846
IARI-Indore,GID9284317,5.697150515
IARI-Indore,GID9284326,5.555362635
IARI-Indore,GID9284473,5.720816109
IARI-Indore,GID9284481,5.623815831
IARI-Indore,GID9284559,5.8297407
IARI-Indore,GID9284573,5.755294302
IARI-Indore,GID9284623,5.830329548
IARI-Indore,GID9284641,5.52496173
IARI-Indore,GID9284843,5.564802119
IARI-Indore,GID9284909,5.928083945
IARI-Indore,GID9284921,5.915972661
IARI-Indore,GID9285011,5.756366203
IARI-Indore,GID9285437,5.695685712
IARI-Indore,GID9285808,5.894564756
IARI-Indore,GID9286169,5.562023683
IARI-Indore,GID9286188,5.628938484
IARI-Indore,GID9286659,5.638628049
IARI-Indore,GID9286875,5.67235269
IARI-Indore,GID9287005,5.756088159
IARI-Indore,GID9287157,5.864519064
IARI-Indore,GID9287193,5.859768505
IARI-Indore,GID9287251,5.934270227
IARI-Indore,GID9287346,5.862587786
IARI-Indore,GID9287502,5.502832069
IARI-Indore,GID9287507,5.916019195
IARI-Indore,GID9287517,5.855675714
IARI-Indore,GID9287553,5.724854944
IARI-Indore,GID9287562,6.091978855
IARI-Indore,GID9287566,5.99912455
IARI-Indore,GID9287803,5.942437995
IARI-Indore,GID9287807,5.739132676
IARI-Indore,GID9287811,5.689745774
IARI-Indore,GID9287887,5.714821264
IARI-Indore,GID9287920,5.831060087
IARI-Indore,GID9288445,5.65185543
IARI-Indore,GID9288539,5.647805995
IARI-Indore,GID9288826,5.652926177
IARI-Indore,GID9288830,6.045772324
IARI-Indore,GID9289010,5.675632191
IARI-Indore,GID9289275,5.998252818
IARI-Indore,GID9289301,5.410005497
IARI-Indore,GID9289783,5.557528421
IARI-Indore,GID9289798,5.583625412
IARI-Indore,GID9289884,5.783435215
IARI-Indore,GID9289919,5.645708099
IARI-Indore,GID9290185,5.972850605
IARI-Indore,GID9290187,5.966919177
IARI-Indore,GID9290191,5.771406824
IARI-Indore,GID9290222,5.810249189
IARI-Indore,GID9290507,5.7130893
IARI-Indore,GID9290535,5.448115116
IARI-Indore,GID9290627,5.529176194
IARI-Indore,GID9290658,5.386006377
IARI-Indore,GID9290696,6.064853633
IARI-Indore,GID9290798,5.818838461
IARI-Indore,GID9291008,5.330146936
IARI-Indore,GID9291457,5.566305873
IARI-Indore,GID9291505,5.292765324
IARI-Indore,GID9291560,5.455748956
IARI-Indore,GID9291626,5.691157399
IARI-Indore,GID9291881,5.308527387
IARI-Indore,GID9291923,5.353158926
IARI-Indore,GID9292038,5.329407285
IARI-Indore,GID9292042,6.006969991
IARI-Indore,GID9292280,5.373558212
IARI-Indore,GID9292334,5.387550613
IARI-Indore,GID9292375,5.38056226
IARI-Indore,GID9292952,5.698347033
IARI-Indore,GID9293089,5.507923526
